[INFO ]16:58:51,597, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 82692 perf-921600-12-1467104178-98504
[INFO ]16:58:51,597, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 43614 perf-921600-12-1467104178-98504
[INFO ]16:59:01,875, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2367 perf-921600-8-1467104321-48505
[INFO ]16:59:01,875, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 3952 perf-921600-8-1467104321-48505
[INFO ]16:59:01,875, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 710 perf-921600-8-1467104321-48505
[INFO ]16:59:01,875, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in queue 0 perf-921600-8-1467104321-48505
[INFO ]16:59:01,876, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc cal and pod write 2 perf-921600-8-1467104321-48505
[INFO ]16:59:01,876, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME pod in queue 7 perf-921600-8-1467104321-48505
[INFO ]16:59:01,876, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME calculate schedule 1 perf-921600-8-1467104321-48505
[INFO ]16:59:01,876, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME binding write 30 perf-921600-8-1467104321-48505
[INFO ]16:59:01,876, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME kubelet_time_before_running 5767 perf-921600-8-1467104321-48505
[INFO ]16:59:01,876, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME container run 3387 perf-921600-8-1467104321-48505
[INFO ]16:59:31,244, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc write 2840 perf-921600-17-1467104178-56985
[INFO ]16:59:31,244, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME watch and list 44 perf-921600-17-1467104178-56985
[INFO ]16:59:31,244, [Class]SyncAPIClient, [Method]createRCWaitRunning, USETIME rc in smartQueue 1 perf-921600-17-1467104178-56985
